=== KPI GLOBAUX ===
Indicateur;Valeur
Chiffre d'affaires total (DA);4,284.00
Total achats (DA);3,300.00
Profit net (DA);984.00
Nombre de clients;3
Nombre de produits;379
Nombre de ventes;1
Ventes aujourd'hui (DA);4,284.00

=== VENTES MENSUELLES 2026 ===
Mois;Nombre de ventes;Montant total (DA)
Janvier;0;0.00
Février;1;4,284.00
Mars;0;0.00
Avril;0;0.00
Mai;0;0.00
Juin;0;0.00
Juillet;0;0.00
Août;0;0.00
Septembre;0;0.00
Octobre;0;0.00
Novembre;0;0.00
Décembre;0;0.00

=== TOP 10 PRODUITS ===
Produit;Quantité vendue;Montant total (DA)
1.5 CM;12;3,600.00

=== TOP 10 CLIENTS ===
Client;Nb commandes;Montant total (DA)
amer;1;4,284.00

=== PRODUITS EN STOCK FAIBLE ===
Produit;Stock actuel;Stock minimum
